SampleID, Sa g, Emb g,Net w g,,Sed mg,Sed cm3,,,,H2O cm3,Ice cm3,Ibg cm3,vsed/visb,mg/l isbj,,dens isbj,,t/km3
7.3.C,780,45.75,734.25,,33.6,0.01267924528,,,,734.2373208,815.8192453,815.8319245,0.00001554149194,41.18495365,,0.9000271976,,41184.95365
8.1.A,763,45.9,717.1,,54.1,0.02041509434,,,,717.0795849,796.7550943,796.7755094,0.00002562214086,67.89867329,,0.9000448387,,67898.67329
8.1.B,1119,45.59,1073.41,,33.5,0.01264150943,,,,1073.397358,1192.663732,1192.676373,0.00001059927883,28.0880889,,0.9000185487,,28088.0889
8.1.C,1133,45.48,1087.52,,15.3,0.005773584906,,,,1087.514226,1208.34914,1208.354914,0.000004778053897,12.66184283,,0.9000083616,,12661.84283
8.2.A,1356,45.16,1310.84,,521,0.1966037736,,,,1310.643396,1456.27044,1456.467044,0.0001349867643,357.7149254,,0.9002362268,,357714.9254
8.2.B,1119,44.95,1074.05,,11.6,0.004377358491,,,,1074.045623,1193.384025,1193.388403,0.000003668008237,9.720221828,,0.900006419,,9720.221828
8.2.C,1248,45.14,1202.86,,65.3,0.02464150943,,,,1202.835358,1336.483732,1336.508373,0.00001843722788,48.85865387,,0.9000322651,,48858.65387
8.3.A,1023,45.2,977.8,,78.4,0.02958490566,,,,977.7704151,1086.411572,1086.441157,0.0000272310244,72.16221466,,0.9000476543,,72162.21466
8.3.B,1288,45.16,1242.84,,59.7,0.02252830189,,,,1242.817472,1380.908302,1380.93083,0.00001631385251,43.23170914,,0.9000285492,,43231.70914
"8.3,C",2008,45.2,1962.8,,50.5,0.01905660377,,,,1962.780943,2180.867715,2180.886771,0.000008738006953,23.15571843,,0.9000152915,,23155.71843
7A.WC,1239,45.01,1193.99,,1085.7,0.4096981132,,,,1193.580302,1326.200335,1326.610034,0.0003088308567,818.4017703,,0.900540454,,818401.7703
7B.WC,1443,45.4,1397.6,,2613.4,0.9861886792,,,,1396.613811,1551.793124,1552.779312,0.0006351119386,1683.046637,,0.9011114459,,1683046.637
7C.WC,1915,54.21,1860.79,,357,0.1347169811,,,,1860.655283,2067.394759,2067.529476,0.00006515843315,172.6698478,,0.9001140273,,172669.8478
Grusprøve,1620,44.62,1575.38,,0,0,,,,1575.38,1750.422222,1750.422222,0,0,,0.9,,0
8A.WC,1239,44.98,1194.02,,285.1,0.1075849057,,,,1193.912415,1326.56935,1326.676935,0.00008109352233,214.8978342,,0.9001419137,,214897.8342
8B.WC,1443,45.46,1397.54,,168.2,0.06347169811,,,,1397.476528,1552.751698,1552.81517,0.00004087524346,108.3193952,,0.9000715317,,108319.3952
8C.WC,1915,45.37,1869.63,,1362.6,0.5141886792,,,,1869.115811,2076.795346,2077.309535,0.0002475262693,655.9446136,,0.900433171,,655944.6136
8.WC grus,,44.38,-44.38,,0,0,,,,-44.38,-49.31111111,-49.31111111,0,0,,0.9,,0
8.Wcsten,,,0,,0,0,,,,0,0,0,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,,#DIV/0!,,
