Catchment,Area (m²),Ice Discharge (kg/yr),Ice Yield (kg m⁻² yr⁻¹),Sediment Yield (kg m⁻² yr⁻¹),Total Flux (kg/yr),Gate Number,Gate Longitude,Gate Latitude
Gate 284.0,4428950000.0,3551095719675.346,801.7917835322924,0.7065005736218817,3129055715.542633,284.0,163106.47181628845,-2873414.171511677
Gate 207.0,2961080000.0,4212086548945.142,1422.4831983415315,0.9916848678101492,2936458228.3752766,207.0,486348.64300626464,-2425051.308139552
Gate 132.0,5753680000.0,2639502402446.2275,458.75029588823634,0.5078037676950142,2921740382.1114492,132.0,-296753.5229645106,-1847241.4244186017
Gate 23.0,59174630000.0,522612534946.79395,8.831699242509737,0.049096852009938234,2905288051.8528514,23.0,-253547.8862213034,-979726.3081395688
Gate 88.0,2099130000.0,4998420257597.919,2381.1866142630133,1.3449533793807384,2823231987.2594895,88.0,-352560.8037578292,-1524124.0552325633
Gate 224.0,2841330000.0,4040250689303.635,1421.9575654019895,0.9914681193566465,2817088111.5716205,224.0,369533.4029227584,-2552297.529069792
Gate 332.0,3529380000.0,3372250468709.685,955.4795654504999,0.7837125945169887,2766019556.8363695,332.0,-68123.69519833433,-3173523.183139642
Gate 258.0,3586970000.0,3103538539948.977,865.225675137784,0.7390439912847278,2650928625.41858,258.0,208512.39561586804,-2796186.1191860866
Gate 68.0,8848480000.0,1594756196250.645,180.22939490744682,0.2922246312651879,2585743805.2573895,68.0,-406367.8235908141,-1457899.9999999995
Gate 266.0,1843990000.0,4250567465871.409,2305.092471147571,1.3193646879135705,2432895290.865745,266.0,169507.3068893535,-2816593.531976792
Gate 205.0,5118720000.0,2019942296032.567,394.61863435244885,0.4645325680021722,2377812146.484079,205.0,490549.19102296507,-2404043.6773255947
Gate 302.0,2692700000.0,3141905329811.6016,1166.8233853795823,0.8820325118819866,2375048944.7446256,302.0,97697.93841336432,-3024469.040697754
Gate 66.0,8848480000.0,1304855948391.2966,147.4666777108946,0.25952740528408663,2296423055.1081347,66.0,-405367.6931106454,-1454898.9098837192
Gate 92.0,1154540000.0,5264228249719.748,4559.589316714664,1.9750262240792538,2280246776.7484617,92.0,-350360.51670146163,-1581144.7674418632
