Prøve nr.,Vægt is,pose,vand,,vægt sed,vol sed,RSC,,,vol vand,vol is,vol isbj,vsed/visb,mg/l isbj,,dens isbj,,t/km3
4C,725,19.44,705.56,,0.2746,0.103622641509434,0.000378758620689655,,,705.456377358491,783.840419287212,783.944041928721,0.000132181171062278,350.280103315037,,0.900231317049359,,350280.103315037
5A,1049,39.44,1009.56,,9.4205,3.55490566037736,0.00898045757864633,,,1006.00509433962,1117.78343815514,1121.33834381551,0.00317023463969072,8401.1217951804,,0.905547910619459,,8401121.7951804
5B,720,43.66,676.34,,60.7998,22.943320754717,0.0844441666666667,,,653.396679245283,725.996310272537,748.939631027254,0.0306344060378374,81181.176000269,,0.953610210566215,,81181176.000269
5C,769,26.82,742.18,,0.1932,0.0729056603773585,0.000251235370611183,,,742.107094339623,824.563438155136,824.636343815514,8.84094679116748E-05,234.285089965938,,0.900154716568845,,234285.089965938
6A,1263,40.39,1222.61,,2.7419,1.03467924528302,0.00217094220110847,,,1221.57532075472,1357.30591194969,1358.34059119497,0.00076172298169547,2018.565901493,,0.901333015217967,,2018565.901493
6B,1212,45.72,1166.28,,60.5497,22.8489433962264,0.049958498349835,,,1143.43105660377,1270.47895178197,1293.3278951782,0.0176667830960827,46816.9752046192,,0.930916870418145,,46816975.2046192
6C,612,48.87,563.13,,12.2895,4.63754716981132,0.0200808823529412,,,558.492452830189,620.547169811321,625.184716981132,0.00741788313733088,19657.3903139268,,0.912981295490329,,19657390.3139268
7A,808,20.51,787.49,,107.5039,40.5675094339623,0.133049381188119,,,746.922490566038,829.913878406709,870.481387840671,0.0466035345506865,123499.366559319,,0.981556185463701,,123499366.559319
7B,614,27.82,586.18,,25.3469,9.5648679245283,0.0412815960912052,,,576.615132075472,640.683480083857,650.248348008386,0.0147095612835066,38980.3374012926,,0.925741732246137,,38980337.4012926
7C,842,26.26,815.74,,0.3193,0.120490566037736,0.000379216152019002,,,815.619509433962,906.243899371069,906.364389937107,0.000132938327427114,352.286567681853,,0.900232642072997,,352286.567681853
8A,797,22.5,774.5,,0.0071,0.00267924528301887,8.90840652446675E-06,,,774.497320754717,860.552578616352,860.555257861635,3.11339133488817E-06,8.25048703745365,,0.900005448434836,,8250.48703745365
8B,359,28.7,330.3,,0.9378,0.35388679245283,0.00261225626740947,,,329.946113207547,366.60679245283,366.960679245283,0.000964372513100473,2555.58715971625,,0.901687651897926,,2555587.15971625
8C,685,28.6,656.4,,4.2597,1.60743396226415,0.0062185401459854,,,654.792566037736,727.547295597484,729.154729559748,0.0022045169524371,5841.9699239583,,0.903857904666765,,5841969.9239583
9A,630,23.7,606.3,,7.9353,2.99445283018868,0.0125957142857143,,,603.305547169811,670.339496855346,673.333949685535,0.00444720310269098,11785.0882221311,,0.907782605429709,,11785088.2221311
9B,758,23.6,734.4,,123.8684,46.7427924528302,0.163414775725594,,,687.65720754717,764.0635639413,810.80635639413,0.0576497607402928,152771.865961776,,1.00088708129551,,152771865.961776
9C,746,26.37,719.63,,127.7951,48.2245660377359,0.171307104557641,,,671.405433962264,746.006037735849,794.230603773585,0.0607185945852616,160904.275650943,,1.00625754052421,,160904275.650943
10A,867,22.39,844.61,,21.7056,8.19079245283019,0.0250352941176471,,,836.41920754717,929.354675052411,937.545467505241,0.00873642157817205,23151.5171821559,,0.915288737761801,,23151517.1821559
